p_id,name,brand,category,colour,price,price_tier,avg_rating,ratingCount,is_rated,bayesian_rating,confidence_score,confidence_tier,occasion,fabric,length,pattern,print_type,neck,sleeve_length,wash_care,trend,pockets,waistband,closure,desc_length,description_clean,img
10356859,Libas Floral Bliss Side Pocket Cotton Kurta Set,Libas,Kurta,Pink,2499.0,Mid,3.963,12568,True,3.964,68.1,Medium,Daily,,,,Floral,Keyhole Neck,Short Sleeves,Machine Wash,,,Partially Elasticated,,663,"This set includes: Kurta and Trousers A smart piece with a floral trend signature, the contemporary styling components ups the exclusivity of this set. The shades of taffy pink beautifully contrasts with the luxe blue floral motifs, while the structured silhouette gives it a casual edge. Design, comfort and a smart overall look, this set is elegance personified! Kurta: All over floral print, hook and eye keyhole neck, short sleeves, calf length with tapered slits, smart styling with side pocket Trousers: Variegated grainy stripes in crop-cut with elastic back, slip-on styling, 2 pockets Pure cotton, Machine-wash The model (height 5'8"") is wearing a size S",http://assets.myntassets.com/assets/images/10356859/2019/8/8/b783aef9-c902-462e-af73-de159bfd011c1565256752191-Libas-Women-Kurta-Sets-2081565256750830-1.jpg
12413214,Varanga Women Mustard Yellow Floral Yoke Embroidered Straight Kurta,Varanga,Kurta,Mustard,1999.0,Mid,4.254,2426,True,4.251,78.1,High,Daily,Cotton,Calf Length,Embroidered,Floral,Round Neck,Three-Quarter Sleeves,Dry Clean,,,,,198,"Mustard yellow floral yoke embroidered straight kurta, has a round neck, three-quarter sleeves, straight hem, and side slitsThe model (height 5'8"") is wearing a size SMaterial: 100% Cotton Dry Clean",http://assets.myntassets.com/assets/images/12413214/2021/11/22/bb925efb-80d9-4cb6-838c-df86f1ba3c3e1637570416652-Varanga-Women-Mustard-Yellow-Floral-Yoke-Embroidered-Straigh-1.jpg
16600750,AHIKA Women Teal Ethnic Motifs Yoke Design Kurta with Trousers & With Dupatta,AHIKA,Kurta,Teal,3748.0,Premium,4.095,1268,True,4.095,70.2,High,Festive,,,,Ethnic Motifs,Keyhole Neck,Three-Quarter Sleeves,Hand Wash,,,Partially Elasticated,,439,"Teal yoke design Kurta with Trousers with dupatta Kurta design: Ethnic motifs yoke design A-line shape Panelled style Keyhole neck, three-quarter regular sleeves Calf length with flared hem Poly silk machine weave fabric Trousers design: Solid Trousers Partially elasticated waistband Zip closure The model (height 5'8) is wearing a size S Dupatta length 2.25 mtr Width 0.7 mtrKurta: Poly Silk Bottom: Poly Silk Dupatta: Art Silk Hand wash",http://assets.myntassets.com/assets/images/16600750/2021/12/23/7d7656e5-e37d-4f61-9407-98bd341ca8f91640261029836KurtaSets1.jpg
9867983,Vishudh Women Navy Blue Floral Printed Regular Pure Cotton Kurta with Palazzos,Vishudh,Kurta,Navy Blue,2149.0,Mid,4.033,2676,True,4.034,71.3,High,Daily,,,,Floral,Mandarin Collar,Three-Quarter Sleeves,Machine Wash,Indigo,,Elasticated,,383,"Navy blue printed Kurta with Palazzos Kurta design: Floral printed Straight shape Regular style Mandarin collar, three-quarter roll-up sleeves Calf length with straight hem Pure cotton machine weave fabric Palazzos design: Printed Palazzos Elasticated waistband Slip-on closure Top fabric: Pure Cotton Bottom fabric: Pure Cotton Machine washThe model (height 5'8) is wearing a size S",http://assets.myntassets.com/assets/images/9867983/2019/5/31/43d65352-9853-498e-95a4-be514df0be901559294212152-Vishudh--Straight-Kurta-With-Crop-Palazzo-7041559294209627-1.jpg
14399798,Anouk Women Peach-Coloured Yoke Design Mirror-Work Kurta with Trousers & With Dupatta,Anouk,Kurta,Peach,3799.0,Premium,4.208,904,True,4.202,73.7,High,Festive,,,,Ethnic Motifs,Round Neck,Three-Quarter Sleeves,Hand Wash,,2,Partially Elasticated,,494,"Peach-coloured yoke design kurta with palazzos with dupatta Kurta design: Ethnic motifs yoke design Straight shape Regular style Round neck, three-quarter regular sleeves Calf length with straight hem Viscose rayon machine weave fabric Palazzos design: Solid trousers Partially elasticated waistband Slip-on closure Two pockets Dupatta Solid dupatta Top fabric: 100% Viscose Rayon Bottom fabric: 100% Viscose Rayon Dupatta fabric: Poly Chiffon Hand washThe model (height 58) is wearing a size S",http://assets.myntassets.com/assets/images/14399798/2022/4/20/4a37718e-8942-479c-a7ea-0b074d53ee4b1650456566424AnoukWomenPeach-ColouredYokeDesignMirror-WorkKurtawithTrouse1.jpg
18372852,SheWill Women Maroon Ethnic Motifs Yoke Design Thread Work Kurta with Trousers & With Dupatta,SheWill,Kurta,Maroon,6699.0,High-End,,0,False,,,Unrated,Daily,,,,Ethnic Motifs,Mandarin Collar,Three-Quarter Sleeves,Dry Clean,,,Partially Elasticated,,461,"Maroon yoke design Kurta with Trousers with dupatta Kurta design: Ethnic motifs yoke design Straight shape Regular style Mandarin collar, three-quarter regular sleeves Thread work detail Calf length with straight hem Silk blend machine weave fabric Trousers design: Solid Trousers Partially elasticated waistband Drawstring closure The model (height 5'8) is wearing a size STop fabric: Silk Blend Bottom fabric: Silk Blend Dupatta fabric: Silk Chiffon Dry clean",http://assets.myntassets.com/assets/images/18372852/2022/7/20/5910af54-3435-40d5-95d4-0ac2daf797f51658319613886-SheWill-Women-Maroon-Ethnic-Yoke-Design-Embroided-Kurta-with-1.jpg
15241816,Varanga Women Yellow & Peach-Coloured Floral Screen Printed Gotta Patti Straight Kurta,Varanga,Kurta,Yellow,2799.0,Premium,4.057,1811,True,4.058,70.3,High,Daily,Cotton,Calf Length,Printed,Floral,Round Neck,Three-Quarter Sleeves,Hand Wash,Floral,,,,269,"Colour: yellow and peach coloured Floral screen printed Round neck Three-quarter, regular sleeves Straight shape with regular style Gotta patti detail Calf length with straight hem Machine weave regular cotton Cotton Hand wash The model (height 5'8) is wearing a size S",http://assets.myntassets.com/assets/images/15241816/2021/8/24/d57adb8b-e792-477a-8801-6ea570cd88ef1629800170287VarangaWomenYellowFloralPrintedKeyholeNeckThreadWorkKurta1.jpg
10808284,AHIKA Floral Print Straight Cotton Kurta With Keyhole Neck,AHIKA,Kurta,Green,1198.0,Mid,4.093,16219,True,4.093,76.3,High,Daily,Cotton,Calf Length,Printed,Floral,Keyhole Neck,Three-Quarter Sleeves,Machine Wash,Floral,,,,440,"Make a statement with this green kurta that embodies the beauty of simple style. This straight kurta with pastel floral print all-over accents keyhole neck that makes for an ideal piece for both day and night Colour: Green with white floral accents keyhole neck 3/Q roll-up sleeves straight silhouette with a firm drape Knee length Cotton, Machine-wash The model (height 5'8"") is wearing a size S The model (height 5'8"") is wearing a size S",http://assets.myntassets.com/assets/images/10808284/2019/10/30/c35d059d-a357-4863-bcb1-eacd8c988fb01572422803188-AHIKA-Women-Kurtas-8841572422802083-1.jpg
14376546,Anouk Women Black & Orange Bandhani Printed Kurta,Anouk,Kurta,Black,1699.0,Mid,4.37,1086,True,4.358,82.0,High,Daily,Viscose Rayon,Calf Length,Printed,Bandhani,Mandarin Collar,Sleeveless,Machine Wash,,,,,260,"Colour: black and orange Bandhani printed Mandarin collar Button closure Sleeveless, no sleeves A-line shape with regular style Calf length with flared hem Machine weave regular viscose rayon The model (height 5'8) is wearing a size SViscose rayon Machine wash",http://assets.myntassets.com/assets/images/14376546/2021/6/11/3a61f2ab-7905-4efc-84e8-df1f74fa08201623409397327-Anouk-Women-Kurtas-1031623409396642-1.jpg
19240164,Charu Women Navy Blue Floral Embroidered Thread Work Kurta,Charu,Kurta,Navy Blue,3099.0,Premium,,0,False,,,Unrated,Daily,Viscose Rayon,Calf Length,Embroidered,Floral,Boat Neck,Three-Quarter Sleeves,Hand Wash,,,,,256,"Colour: navy blue Floral embroidered Boat neck Three-quarter, regular sleeves Straight shape with regular style Thread work detail Calf length with straight hem Knitted regular viscose rayon The model (height 5'8) is wearing a size SViscose Rayon Hand Wash",http://assets.myntassets.com/assets/images/19240164/2022/7/25/3e9c355b-20e6-42d0-8480-7046979f87711658733247220CharuWomenNavyBlueStripedThreadWorkKurta1.jpg
15055304,Libas Women Blue Embroidered Panelled Kurta with Churidar & With Dupatta,Libas,Kurta,Blue,4999.0,Premium,4.338,544,True,4.318,75.4,High,Festive,,,,Geometric,Round Neck,Long Sleeves,Hand Wash,,2,Elasticated,,416,"Blue embroidered Kurta with Churidar with dupatta Kurta design: Geometric embroidered A-line shape Panelled style Round neck, long regular sleeves 2 pockets Floor length with flared hem Poly georgette machine weave fabric Churidar design: Solid Churidar Elasticated waistband Slip-on closure Top fabric: Poly Georgette Bottom fabric: Silk Blend Dupatta fabric: Net Hand washThe model (height 5'8) is wearing a size S",http://assets.myntassets.com/assets/images/15055304/2021/8/27/0d391a8b-ea8c-4258-86d5-a99b9f3f34201630040200642-Libas-Women-Kurta-Sets-5941630040199555-1.jpg
14649544,JAIPURI BUNAAI Women Blue & Orange Ethnic Motifs Printed Kurta With Trousers & Dupatta,JAIPURI BUNAAI,Kurta,Blue,3999.0,Premium,4.044,1576,True,4.046,68.4,Medium,Daily,,,,Ethnic Motifs,Round Neck,Three-Quarter Sleeves,Machine Wash,Indigo,,Elasticated,,474,"Blue printed Kurta with Trousers with dupatta Kurta design: Ethnic motifs printed Straight shape Regular style Round neck, three-quarter regular sleeves Calf length with straight hem Viscose rayon machine weave fabric Trousers design: Printed Trousers Elasticated waistband Slip-on closure Dupatta design: Printed dupatta Solid border Top fabric: Viscose Rayon Bottom fabric: Viscose Rayon Dupatta fabric: Viscose Rayon Machine washThe model (height 5'8) is wearing a size S",http://assets.myntassets.com/assets/images/productimage/2021/6/25/d6b74d2b-825f-4b34-af01-9d6336045bdb1624612149604-1.jpg
17581924,KALINI Women Sea Green Floral Yoke Design Pleated Pure Cotton Top with Skirt & With Dupatta,KALINI,Top,Sea Green,3999.0,Premium,3.942,242,True,3.969,60.6,Medium,Daily,,,,Floral,V-Neck,Short Sleeves,Machine Wash,,,Elasticated,,343,"Sea green yoke design Top with Skirt with dupatta Top design: Floral yoke design A-line shape Pleated style V-neck, short flared sleeves Na pockets Above knee length with curved hem Pure cotton machine weave fabric Skirt design: Printed Skirt Elasticated waistband Zip closure The model (height 5'8) is wearing a size S Machine Wash as per Tag",http://assets.myntassets.com/assets/images/17581924/2022/3/19/07adcdf7-eee1-4077-b55c-f6608caaa6f01647663614971KALINIWomenSeaGreenFloralYokeDesignPleatedPureCottonTopwithS4.jpg
13810898,Indo Era Women Blue & Green Printed Kurta with Palazzos & Dupatta,Indo Era,Kurta,Blue,4599.0,Premium,4.3,1717,True,4.294,76.3,High,Festive,,,,Ethnic Motifs,Mandarin Collar,Three-Quarter Sleeves,Hand Wash,,,Partially Elasticated,,413,"Blue and green printed kurta with palazzos and dupatta Blue and green straight calf length kurta, has a mandarin collar, three-quarter sleeves, side slits Green solid palazzos, has partially elasticated waistband, slip-on closure Blue and green printed dupatta, has printed borderThe model (height 5'8"") is wearing a size SKurta fabric: pure cotton Bottom fabric: pure cotton Dupatta fabric: pure cotton Hand-wash",http://assets.myntassets.com/assets/images/13810898/2021/4/6/6bc412bb-3cc6-4def-8833-f5580b0cc06a1617706648250-Indo-Era-Green-Printed-Straight-Kurta-Palazzo-With-Dupatta-S-1.jpg
15150620,Anouk Women Pink & Blue Ethnic Motifs Embroidered Kurta with Trousers & With Dupatta,Anouk,Kurta,Pink,3899.0,Premium,4.084,273,True,4.087,65.2,Medium,Festive,,,,Ethnic Motifs,Round Neck,Three-Quarter Sleeves,Machine Wash,,1,Partially Elasticated,,483,Pink embroidered Kurta with Trousers with dupatta Kurta design: Ethnic motifs embroidered Straight shape Regular style Round neck Tree-quarter regular sleeves Sequinned detail Calf length Straight hem Side details Viscose rayon knitted and woven fabric Trousers design: Solid Trousers Partially elasticated waistband Slip-on closure Embroidered dupattaTop fabric: Viscose Silk Bottom fabric: Viscose Silk Dupatta fabric: Organza Machine washThe model (height 5'8) is wearing a size S,http://assets.myntassets.com/assets/images/15150620/2021/9/8/b1bd0687-7533-428d-8258-d29c793fc4541631092430795-Anouk-Women-Kurta-Sets-941631092429795-1.jpg
19240246,TOULIN Women Teal Floral Panelled Kurta with Palazzos & With Dupatta,TOULIN,Kurta,Teal,4299.0,Premium,,0,False,,,Unrated,Festive,,,,Floral,Round Neck,Long Sleeves,Dry Clean,,,Elasticated,,320,"Teal solid Kurta with Palazzos with dupatta Kurta design: Floral solid Anarkali shape Panelled style Round neck, long regular sleeves Floor length with flared hem Art silk knitted fabric Palazzos design: Self design Palazzos Elasticated waistband Slip-on closure DRY CLEAN ONLY The model (height 5'8) is wearing a size S",http://assets.myntassets.com/assets/images/19240246/2022/7/25/64e975d5-dbda-4c09-87c0-c5152f9e82c71658736715566TOULINWomenTealFloralAngrakhaKurtiwithPalazzosWithDupatta1.jpg
12766966,Ishin Women Red & Orange Bandhani Print Anarkali Kurta,Ishin,Kurta,Red,5399.0,High-End,4.205,2391,True,4.203,73.0,High,Festive,Viscose Rayon,Ankle Length,Printed,Bandhani,Round Neck,Three-Quarter Sleeves,Dry Clean,Floral,,,,212,"Red, orange and pink bandhani printed anarkali kurta with gotta patti detailing, has a round neck, three-quarter sleeves, and flared hemMaterial: Viscose Rayon Dry CleanThe model (height 5'8"") is wearing a size S",http://assets.myntassets.com/assets/images/12766966/2020/11/19/d1a4cc48-ff90-47ab-ad36-800743e83d641605767381033-Ishin-Womens-Rayon-Red-Bandhani-Print-Embellished-Anarkali-K-1.jpg
14023594,Libas Women Maroon Printed Kurta with Palazzos & Dupatta,Libas,Kurta,Maroon,3999.0,Premium,4.311,1243,True,4.303,76.9,High,Daily,,,,Ethnic Motifs,V-Neck,Three-Quarter Sleeves,Machine Wash,,,Partially Elasticated,,383,"Maroon printed kurta with palazzos and dupatta Maroon A-line calf length kurta, has a V-neck, three-quarter sleeves, front slit Maroon printed palazzos, has partially elasticated waistband, slip-on closure Maroon printed dupatta, has taping borderThe model (height 5'8"") is wearing a size SKurta fabric: pure cotton Bottom fabric: pure cotton Dupatta fabric: pure cotton Machine-wash",http://assets.myntassets.com/assets/images/productimage/2021/4/5/195aae75-105f-44f3-95d8-04c04501de851617598475258-1.jpg
14346084,Nayo Women Pink & Off-White Floral Screen Print A-Line Pure Cotton Kurta Set With Dupatta,Nayo,Kurta,Pink,3699.0,Premium,4.257,1247,True,4.251,75.4,High,Daily,,,,Floral,Round Neck,Three-Quarter Sleeves,Machine Wash,,,Elasticated,,479,"Pink and white Floral Screen Print A-Line Pure Cotton Kurta Set With Dupatta Kurti design: Floral printed A-line design Regular style Round neck, three-quarter regular sleeve Calf length with flared hem Machine weave regular Trousers design: Printed Elasticated waistband Slip-on closure Comes with a Dupatta Top fabric: Pure Cotton Bottom fabric: Pure Cotton Dupatta fabric: Cotton Blend Machine washDupatta length: 2.25 metre (approx.) The model (height 58) is wearing a size S",http://assets.myntassets.com/assets/images/productimage/2021/5/19/3d4648ec-8534-4333-ba00-71f016a7889c1621410078449-1.jpg
18829920,Virah Fashion Women Lime Green Embroidered Layered Thread Work Top with Sharara & With Dupatta,Virah Fashion,Top,Lime Green,4999.0,Premium,4.35,20,True,4.172,55.8,Medium,Festive,,,,Geometric,Boat Neck,Sleeveless,Dry Clean,Floral,,Elasticated,,395,"Lime green embroidered Top with Sharara with dupatta Top design: Geometric embroidered A-line shape Layered style Boat neck, sleeveless no sleeves Na pockets thread work detail Above knee length with straight hem Poly georgette knitted fabric Sharara design: Embroidered Sharara Elasticated waistband Zip closure 50 %Polyster And 50 % cottton georgette The model (height 5'8) is wearing a size S",http://assets.myntassets.com/assets/images/18829920/2022/6/23/4df23875-c0d5-4e8d-bf0e-b1a6e39fd6581655970565935VirahFashionWomenLimeGreenEmbroideredLayeredThreadWorkTopwit1.jpg
11459658,Indo Era Folksy Floral Screen Print Cotton Kurta Set,Indo Era,Kurta,Burgundy,4999.0,Premium,4.223,7031,True,4.222,73.7,High,Daily,,,,Floral,Boat Neck,Three-Quarter Sleeves,Hand Wash,,,Partially Elasticated,,794,"This set includes: Kurta, Trousers and Dupatta The robust flowy silhouette of this piece stands out on its own, as does the ethnic floral patterning all over. Crafted with precision, the intricate stencilling techniques and gotta lace panelling has given this kurta set a sharp edged finishing. If daily comfort with a design marvel is what you're looking for in your ethnic wear, then you've stumbled upon the right thing here! Kurta: Mulberry screen printed ethnic floral pattern all-over with gotta lace, boat neck, 3/4th sleeves, mid calf-length with flared hem Trousers: Blushed tone in clean crop-cut, semi-elasticated waistline with slip-on styling Dupatta: Ethnic screen print with striped and solid alternate bordering Pure cotton, hand-wash The model (height 5'8"") is wearing a size S",http://assets.myntassets.com/assets/images/11459658/2020/2/15/9b7f8d3f-e48f-4618-8eac-32cee1a0d4111581757541745-Indo-Era-Maroon-Floral-Printed-A-Line-Kurta-with-Palazzo-Set-1.jpg
16522612,Kvsfab Women Pink Floral Embroidered Gotta Patti Kurta with Skirt & With Dupatta,Kvsfab,Kurta,Pink,6899.0,High-End,4.364,253,True,4.321,71.6,High,Festive,,,,Floral,Round Neck,Three-Quarter Sleeves,Dry Clean,,,,,353,"Pink embroidered Kurta with Skirt with dupatta Kurta design: Floral embroidered Straight shape Regular style Round neck, three-quarter regular sleeves Gotta patti detail Calf length with straight hem Viscose rayon machine weave fabric Skirt design: Embroidered Skirt Drawstring closure The model (height 5'8) is wearing a size SSilk blend Dry clean only",http://assets.myntassets.com/assets/images/16522612/2021/12/27/ee378dc7-1065-4ae0-8cb6-4afb40cc27581640597727510-KVS-Fab-Pink-Rayon-Foli-Print--Stitched-Embroidery--Kurta-Se-1.jpg
15150642,Anouk Women Teal Blue & Pink Yoke Design Regular Kurta with Trousers & Dupatta,Anouk,Kurta,Teal,3899.0,Premium,3.991,228,True,4.011,61.9,Medium,Festive,,,,Solid,Round Neck,Three-Quarter Sleeves,Machine Wash,,1,Partially Elasticated,,442,"Teal blue & Pink yoke design Kurta with Trousers with dupatta Kurta design: Solid yoke design Straight shape Regular style Round neck, three-quarter regular sleeves Calf length with straight hem Art silk knitted and woven fabric Trousers design: Solid Trousers Partially elasticated waistband Slip-on closure 1 pockets Top fabric: Art Silk Bottom fabric: Art Silk Dupatta fabric: Organza Machine washThe model (height 5'8) is wearing a size S",http://assets.myntassets.com/assets/images/15150642/2021/9/9/68ccde4c-f0fe-487d-9fa2-0aa4231a7dcf1631170046519-Anouk-Women-Kurta-Sets-801631170045543-1.jpg
16875218,Moda Rapido Women Maroon & Grey Ethnic Motifs Printed A-Line Kurta,Moda Rapido,Kurta,Maroon,1199.0,Mid,,0,False,,,Unrated,Daily,Polyester,Knee Length,Printed,Ethnic Motifs,V-Neck,Three-Quarter Sleeves,Machine Wash,,2,,,247,"Colour: maroon and grey Ethnic motifs printed V-neck Three-quarter, regular sleeves A-line shape with regular style Knee length with straight hem Machine weave regular polyester The model (height 5'8) is wearing a size S100% Polyester Machine-wash",http://assets.myntassets.com/assets/images/16875218/2022/7/1/2d97dfa5-20db-4b0d-bdd1-1f79a9f0be301656672531176-Moda-Rapido-Women-Kurtas-3741656672530573-1.jpg
